Main Data
#
# variable definitions
#
height # z # m # Z1 # 0 # 99999
wind speed # speed # m/s # G1 # 0 # 99.99
wind direction # dir # deg # R1 # 0 # 999.9
wind W # W # m/s # S # 0 # 99.99
sigma W # sigW # m/s # S # 0 # 99.99
backscatter # bck #  # S # 0 # 9.99E+37
error code # - - - - - - - - groundclutter - - - - - - -  #  # E # IIIIIIIIWIIIIIII
#
# beginning of data block
#

2012-08-15 00:30:00 00:30:00
#    z  speed    dir      W   sigW       bck   error 
   130   4.19  227.9   0.08   0.10  1.17E+06       0
   140   4.65  230.4   0.10   0.13  1.14E+06       0
   150   5.05  231.3   0.12   0.14  8.71E+05       0
   160   5.31  232.2   0.05   0.16  7.17E+05       0
   170   5.55  233.3   0.09   0.14  3.31E+05       0
   180   5.79  235.6   0.11   0.14  3.93E+05       0
   190   6.05  235.5   0.20   0.18  3.19E+05       0
   200   6.09  235.1   0.20   0.15  2.34E+05       0
   210   6.02  234.6   0.13   0.19  2.74E+05       0
   220   5.79  233.6   0.12   0.19  2.62E+05       0
   230   5.61  233.5   0.13   0.17  2.47E+05       0
   240   5.41  232.2   0.18   0.19  2.61E+05       0
   250   5.11  231.4   0.13   0.23  3.68E+05       0
   260   4.86  229.0   0.11   0.18  2.74E+05       0
   270   4.64  227.4   0.14   0.13  3.51E+05       0
   280   4.55  226.7   0.21   0.15  3.12E+05       0
   290   4.31  223.4   0.20   0.15  4.00E+05       0
   300   4.10  223.8   0.16   0.18  3.75E+05       0
   310   4.30  221.3   0.18   0.17  2.43E+05       0
   320   4.33  227.4   0.19   0.19  2.43E+05       0
   330   4.12  224.0   0.22   0.22  2.11E+05       0
   340   3.72  225.7   0.23   0.22  9.99E+37       0
   350   3.76  215.5   0.25   0.23  9.99E+37       0
   360   4.23  222.1   0.15   0.28  2.51E+05       0
   370   4.44  221.5   0.07   0.25  9.99E+37       0
   380   4.97  226.8   0.11   0.17  9.99E+37       0
   390   4.67  219.8   0.26   0.25  9.99E+37       0
   400   4.73  221.1   0.35   0.22  5.42E+05       0
   410   4.46  214.9   0.40   0.24  9.99E+37       0
   420   4.63  214.0   0.40   0.24  9.99E+37       0
   430   4.58  205.6   0.29   0.26  6.69E+05       0
   440   4.62  205.4   0.21   0.28  4.55E+05       0
   450   4.44  199.0   0.11   0.28  9.99E+37       0
   460   4.37  198.2   0.18   0.23  9.99E+37       0
   470   4.36  195.3   0.17   0.23  9.99E+37       0
   480   4.45  195.7   0.26   0.22  9.99E+37       0
   490   4.58  193.0   0.27   0.20  9.99E+37       0
   500   4.87  193.6   0.32   0.20  9.99E+37       0
   510   4.89  191.5   0.36   0.23  9.99E+37       0
   520   4.85  187.8   0.35   0.25  9.99E+37       0
   530   4.82  180.1   0.35   0.29  1.42E+06       0
   540  99.99  999.9   0.34   0.34  9.99E+37       0
   550   5.25  173.0   0.34   0.29  9.99E+37       0
   560   5.74  175.9   0.35  99.99  9.99E+37       0
   570   6.24  174.8   0.36  99.99  9.99E+37       0
   580  99.99  999.9   0.42  99.99  9.99E+37       0
   590  99.99  999.9   0.53  99.99  9.99E+37       0
   600  99.99  999.9   0.45  99.99  9.99E+37       0
   610  99.99  999.9  99.99  99.99  9.99E+37       0
   620  99.99  999.9  99.99  99.99  9.99E+37       0
   630  99.99  999.9  99.99  99.99  9.99E+37       0
   640  99.99  999.9  99.99  99.99  9.99E+37       0
   650  99.99  999.9  99.99  99.99  9.99E+37       0
   660  99.99  999.9  99.99  99.99  9.99E+37       0
   670  99.99  999.9  99.99  99.99  9.99E+37       0
   680  99.99  999.9  99.99  99.99  9.99E+37       0
   690  99.99  999.9  99.99  99.99  9.99E+37       0
   700  99.99  999.9  99.99  99.99  9.99E+37       0
   710  99.99  999.9  99.99  99.99  9.99E+37       0
   720  99.99  999.9  99.99  99.99  9.99E+37       0
   730  99.99  999.9  99.99  99.99  9.99E+37       0
   740  99.99  999.9  99.99  99.99  9.99E+37       0
   750  99.99  999.9  99.99  99.99  9.99E+37       0
   760  99.99  999.9  99.99  99.99  9.99E+37       0
   770  99.99  999.9  99.99  99.99  9.99E+37       0
   780  99.99  999.9  99.99  99.99  9.99E+37       0
   790  99.99  999.9  99.99  99.99  9.99E+37       0
   800  99.99  999.9  99.99  99.99  9.99E+37       0
   810  99.99  999.9  99.99  99.99  9.99E+37       0
   820  99.99  999.9  99.99  99.99  9.99E+37       0
   830  99.99  999.9  99.99  99.99  9.99E+37       0
   840  99.99  999.9  99.99  99.99  9.99E+37       0
   850  99.99  999.9  99.99  99.99  9.99E+37       0
   860  99.99  999.9  99.99  99.99  9.99E+37       0
   870  99.99  999.9  99.99  99.99  9.99E+37       0
   880  99.99  999.9  99.99  99.99  9.99E+37       0
   890  99.99  999.9  99.99  99.99  9.99E+37       0
   900  99.99  999.9  99.99  99.99  9.99E+37       0
   910  99.99  999.9  99.99  99.99  9.99E+37       0
   920  99.99  999.9  99.99  99.99  9.99E+37       0
   930  99.99  999.9  99.99  99.99  9.99E+37       0
   940  99.99  999.9  99.99  99.99  9.99E+37       0
   950  99.99  999.9  99.99  99.99  9.99E+37       0
   960  99.99  999.9  99.99  99.99  9.99E+37       0
   970  99.99  999.9  99.99  99.99  9.99E+37       0
   980  99.99  999.9  99.99  99.99  9.99E+37       0
   990  99.99  999.9  99.99  99.99  9.99E+37       0
  1000  99.99  999.9  99.99  99.99  9.99E+37       0

2012-08-15 02:30:00 00:30:00
#    z  speed    dir      W   sigW       bck   error 
    30   1.55  175.0   0.01   0.17  6.18E+05       0
    40   1.00  160.4   0.00   0.16  6.53E+05       0
    50   1.50  168.5  -0.05   0.17  7.00E+05       0
    60   1.01  178.2  -0.07   0.16  1.13E+06       0
    70   1.34  187.8  -0.06   0.18  5.13E+05       0
    80   1.59  194.6  -0.03   0.19  5.11E+05       0
    90   1.88  201.4  -0.02   0.20  3.26E+05     256
   100   2.24  209.3  -0.08   0.22  2.89E+06       0
   110   2.65  214.4  -0.13   0.23  2.47E+06       0
   120   3.11  219.9  -0.15   0.22  2.67E+06       0
   130   3.54  223.7  -0.16   0.23  3.67E+06       0
   140   4.13  228.3  -0.13   0.23  2.76E+06       0
   150   4.48  230.7  -0.13   0.23  2.96E+06       0
   160   4.83  232.0  -0.11   0.24  1.00E+06       0
   170   4.98  232.2  -0.11   0.21  7.28E+05       0
   180   5.28  231.5  -0.07   0.19  3.29E+05       0
   190   5.49  230.9   0.02   0.24  2.95E+05       0
   200   5.66  229.9   0.06   0.22  3.46E+05       0
   210   5.73  231.2   0.04   0.22  2.87E+05       0
   220   5.81  231.5   0.03   0.21  2.94E+05       0
   230   5.86  234.7   0.00   0.22  2.68E+05       0
   240   5.69  236.3   0.01   0.25  2.61E+05       0
   250   5.61  239.2  -0.14   0.25  2.42E+05       0
   260   5.24  239.3  -0.10   0.27  1.74E+05       0
   270   5.07  238.8  -0.06   0.28  1.67E+05       0
   280   5.00  238.3   0.07   0.22  4.14E+05       0
   290   4.94  236.4  -0.04   0.18  9.99E+37       0
   300   4.53  229.3  -0.07   0.20  9.99E+37       0
   310   4.61  226.5  -0.12   0.18  4.06E+05       0
   320   5.08  223.7  -0.11   0.21  2.67E+05       0
   330   5.11  224.6  -0.10   0.21  9.99E+37       0
   340   4.91  220.0  -0.14   0.23  9.99E+37       0
   350   4.49  223.6  -0.09   0.24  9.99E+37       0
   360   4.75  222.4  -0.02   0.29  9.99E+37       0
   370   4.72  223.5  -0.08   0.26  9.99E+37       0
   380   4.80  221.7  -0.06   0.23  9.99E+37       0
   390   4.89  220.2  -0.06   0.25  9.99E+37       0
   400   4.95  218.1   0.01   0.21  9.99E+37       0
   410   4.86  218.9  -0.04   0.31  1.63E+06       0
   420   4.59  217.3  -0.08   0.25  9.99E+37       0
   430   4.65  219.7  -0.07   0.31  9.99E+37       0
   440   4.92  217.1   0.00   0.26  9.99E+37       0
   450   4.98  218.2  -0.01   0.27  9.99E+37       0
